"dateTime","halo1Count","halo2Count","halo3Count","haloReachCount","mccCount"
"05/14/20 19:40:57","0","147","0","0","0"
"05/14/20 19:46:51","0","147","0","0","0"
"05/14/20 19:52:45","0","147","0","0","0"
"05/14/20 19:58:39","0","147","0","0","0"
"05/14/20 20:04:33","0","161","6","0","2"
"05/14/20 20:10:29","0","161","6","0","2"
"05/14/20 20:16:22","0","161","6","0","2"
"05/14/20 20:18:18","0","161","6","0","2"
"05/14/20 20:22:18","0","161","6","0","2"
"05/14/20 20:24:14","0","161","6","0","2"
"05/14/20 20:28:13","0","161","6","0","2"
"05/14/20 20:30:08","0","161","6","0","2"
"05/14/20 20:34:08","0","161","6","0","2"
"05/14/20 20:36:00","0","161","6","0","2"
"05/14/20 20:36:01","0","161","6","0","2"
"05/14/20 20:40:05","0","161","6","0","2"
"05/14/20 20:42:01","0","161","6","0","2"
"05/14/20 20:46:01","0","161","6","0","2"
"05/14/20 20:48:06","0","161","6","0","2"
"05/14/20 20:51:58","0","161","6","0","2"
"05/14/20 20:54:08","0","161","6","0","2"
"05/14/20 20:57:56","0","161","6","0","2"
"05/14/20 21:00:09","0","164","4","0","0"
"05/14/20 21:11:23","0","164","4","0","0"
"05/14/20 21:19:20","0","164","4","0","0"
"05/14/20 21:20:35","0","164","4","0","0"
"05/14/20 21:21:29","0","164","4","0","0"
"05/14/20 21:22:01","0","164","4","0","0"
"05/14/20 21:22:40","0","164","4","0","0"
"05/14/20 21:23:16","0","164","4","0","0"
"05/14/20 21:35:56","0","164","4","0","0"
"05/14/20 21:41:53","0","164","4","0","0"
"05/14/20 21:47:48","0","164","4","0","0"
"05/14/20 21:53:44","0","164","4","0","0"
"05/14/20 21:59:44","0","164","4","0","0"
"05/14/20 22:05:43","0","172","0","0","0"
"05/14/20 22:11:41","0","172","0","0","0"
"05/14/20 22:17:36","0","172","0","0","0"
"05/14/20 22:23:31","0","172","0","0","0"
"05/14/20 22:29:29","0","172","0","0","0"
"05/14/20 22:35:25","0","172","0","0","0"
"05/14/20 22:41:21","0","172","0","0","0"
"05/14/20 22:47:16","0","172","0","0","0"
"05/14/20 22:53:10","0","172","0","0","0"
"05/14/20 22:59:05","0","172","0","0","0"
"05/14/20 23:05:02","0","138","0","0","0"
